id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_type,pass_body_part,possession_team_id,team_id,player_id,pass_recipient_id,under_pressure,pass_outcome,pass_cross,pass_cut_back,off_camera,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,pass_backheel,pass_goal_assist,pass_switch,counterpress,pass_deflected,pass_miscommunication,player_x,player_y,pass_end_x,pass_end_y
214a026e-3211-449e-9f23-ffcf4f13df1b,126,1,00:04:16.275,4,16,Pass,15,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[99.0, 80.0]",1.213091,['1ef3d449-aa24-4426-a9cc-304ec794b596'],18243,Saúl Ñíguez Esclapez,11.18034,-0.4636476,High Pass,"[109.0, 75.0]",Throw-in,,212,212,6375,6381.0,,1,,,,,,,,,,,,,99.0,80.0,109.0,75.0
ae487d2d-c72a-422c-b257-cf1b1a8a9752,130,1,00:04:21.100,4,21,Pass,15,Atlético Madrid,From Throw In,Atlético Madrid,Saúl Ñíguez Esclapez,Right Midfield,"[120.0, 79.0]",1.5048,['dc7a8101-ddba-46cc-a105-01ae45ebd63a'],18243,Jorge Resurrección Merodio,28.231188,-1.971037,High Pass,"[109.0, 53.0]",,Right Foot,212,212,6381,5199.0,,1,,,,,129d6ccd-ef7d-44e2-87e1-b55d018f5e24,True,,,,,,,120.0,79.0,109.0,53.0
6d28b7e1-3c81-4ad1-bb03-430b139ba60e,134,1,00:04:26.831,4,26,Pass,17,Real Madrid,From Keeper,Real Madrid,Keylor Navas Gamboa,Goalkeeper,"[13.0, 40.0]",2.823973,['7c2fdde2-2e44-486b-a5d8-33e02ff15863'],18243,Daniel Carvajal Ramos,30.805843,0.9467733,High Pass,"[31.0, 65.0]",,Keeper Arm,220,220,5597,5721.0,,1,,,,,,,,,,,,,13.0,40.0,31.0,65.0
e82e5929-83ea-4663-a5cf-c2d6607cf8af,137,1,00:04:31.571,4,31,Pass,18,Real Madrid,Regular Play,Real Madrid,Daniel Carvajal Ramos,Right Back,"[47.0, 74.0]",0.96635,['c578d20c-77fd-4b09-8ac7-a932a3c18b79'],18243,Gareth Frank Bale,5.0,0.9272952,Ground Pass,"[50.0, 78.0]",,Left Foot,220,220,5721,6399.0,,1,,,,,,,,,,,,,47.0,74.0,50.0,78.0
a4c3482e-1051-40a8-bd37-d0641f5a3884,141,1,00:04:33.715,4,33,Pass,19,Real Madrid,Regular Play,Real Madrid,Gareth Frank Bale,Right Wing,"[54.0, 78.0]",1.1862,"['18e5a78a-8580-4255-8fbc-acb2fba87ba3', 'aff42c9c-3df3-4ef3-8165-e05172820024']",18243,Luka Modrić,8.485281,-2.3561945,Ground Pass,"[48.0, 72.0]",,Left Foot,220,220,6399,5463.0,True,1,,,,,,,,,,,,,54.0,78.0,48.0,72.0
21d6c6b0-90de-4b5f-96f3-4481c1d00f2c,145,1,00:04:35.986,4,35,Pass,20,Real Madrid,Regular Play,Real Madrid,Luka Modrić,Right Center Midfield,"[49.0, 76.0]",0.521874,['03b24157-170b-40e1-bc8e-ad7f596d2efd'],18243,Gareth Frank Bale,8.0,0.0,Ground Pass,"[57.0, 76.0]",,Left Foot,220,220,5463,6399.0,,1,,,,,,,,,,,,,49.0,76.0,57.0,76.0
5e334c54-286a-404b-ac2a-9f996692f8ac,149,1,00:04:37.051,4,37,Pass,21,Real Madrid,Regular Play,Real Madrid,Gareth Frank Bale,Right Wing,"[58.0, 76.0]",1.695602,"['6334e7a1-e43e-428d-a7e6-9359454f3e6a', '652ddcce-a316-4b9b-bf59-c4368e8368a2']",18243,Cristiano Ronaldo dos Santos Aveiro,14.142136,-0.14189705,Ground Pass,"[72.0, 74.0]",,Left Foot,220,220,6399,5207.0,True,1,,,,,,,,,,,,,58.0,76.0,72.0,74.0
60c22a66-40d4-456a-9549-351c956fee64,152,1,00:04:38.814,4,38,Pass,22,Real Madrid,Regular Play,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,"[72.0, 75.0]",0.97997,['41946a93-34da-46e4-93b4-422725b5af89'],18243,Gareth Frank Bale,3.6055512,0.98279375,Ground Pass,"[74.0, 78.0]",,Right Foot,220,220,5207,6399.0,,1,,,,,,,,,,,,,72.0,75.0,74.0,78.0
572f93c1-e160-4405-b6f5-35b005ce86ee,158,1,00:05:28.631,5,28,Pass,23,Real Madrid,From Free Kick,Real Madrid,Gareth Frank Bale,Right Wing,"[100.0, 63.0]",1.0902,['9ff59fa3-3975-464b-a6d7-e5ac01c2eb51'],18243,Karim Benzema,27.45906,-0.9928944,Low Pass,"[115.0, 40.0]",Free Kick,Left Foot,220,220,6399,19677.0,,1,True,,,,855d5fee-a32c-4818-b5c8-9c98bb17bac5,True,,,,,,,100.0,63.0,115.0,40.0
687f74b5-b4e4-4c3d-9005-b8d1b9cedbca,165,1,00:05:53.247,5,53,Pass,24,Atlético Madrid,From Goal Kick,Atlético Madrid,Jan Oblak,Goalkeeper,"[7.0, 41.0]",1.2247,['29841909-d8f3-4b52-9ea6-ca8274d18e0d'],18243,Stefan Savić,29.410883,0.95449936,Ground Pass,"[24.0, 65.0]",Goal Kick,Right Foot,212,212,6378,6376.0,,1,,,,,,,,,,,,,7.0,41.0,24.0,65.0
78dccdcb-a4c3-4a23-9f77-1bda31be4e96,168,1,00:05:56.497,5,56,Pass,24,Atlético Madrid,From Goal Kick,Atlético Madrid,Stefan Savić,Right Center Back,"[26.0, 71.0]",3.1698,['b4120598-4303-4773-817c-45077cd9e1a0'],18243,,67.36468,0.10409994,High Pass,"[93.0, 78.0]",,Right Foot,212,212,6376,,,0,,,,,,,,,,,,,26.0,71.0,93.0,78.0
